norm_title,critics_consensus,tomatometer_rating
the wackness,Sympathetic characters and a clever script help The Wackness overcome a familiar plot to make for a charming coming-of-age comedy.,70.0
me before you,"Me Before You benefits from Emilia Clarke and Sam Claflin's alluring chemistry, although it isn't enough to compensate for its clumsy treatment of a sensitive subject.",54.0
days of heaven,"Illuminated by magic hour glow and wistful performances, Days of Heaven is a visual masterpiece that finds eloquent poetry in its spare scenario.",92.0
veronica mars,"It might be a more entertaining watch for diehard fans of the show, but Veronica Mars offers enough sharp writing and solid performances to entertain viewers in the mood for a character-driven thriller.",79.0
courage under fire,An emotional and intriguing tale of a military officer who must review the merits of a fallen officer while confronting his own war demons. Effectively depicts the terrors of war as well as its heartbreaking aftermath.,85.0
the miseducation of cameron post,"The Miseducation of Cameron Post tells its timely coming-of-age story with wit, compassion, and an affecting overall generosity of spirit.",86.0
the secret world of arrietty,"Visually lush, refreshingly free of family-friendly clatter, and anchored with soulful depth, The Secret World of Arrietty lives up to Studio Ghibli's reputation.",95.0
far from the tree,Far from the Tree takes a piercingly thoughtful look at the family dynamic that makes its points -- and earns its tears -- honestly.,90.0
the education of charlie banks,"Unevenness and earnestness mire this otherwise sweet, surprising coming of age drama.",48.0
waking up in reno,"The humor is on the level of a corny sitcom, and the tone is condescending.",13.0
the sitter,"With its recycled plot, misguided gags, and formula performance from Jonah Hill, The Sitter adds up to another disappointing entry from director David Gordon Green.",22.0
the mercy,"The Mercy sails on Colin Firth's layered central performance, which adds necessary depth and nuance that the story sometimes lacks.",74.0
dude wheres my car,"The movie isn't funny, the plot is too thin, and the production values feel more like a TV sitcom than a movie.",17.0
piranha 3d,"Playing exactly to expectations for a movie about killer fish run amok, Piranha 3-D dishes out gore, guffaws and gratuitous nudity with equal glee.",74.0
the joneses,"It doesn't pursue its subversive premise as far as it should, but The Joneses benefits from its timely satire of consumer culture -- as well as a pair of strong performances from David Duchovny and Demi Moore.",63.0
the house of the devil,"Though its underlying themes are familiar, House of the Devil effectively sheds the loud and gory cliches of contemporary horror to deliver a tense, slowly building throwback to the fright flicks of decades past.",85.0
the machinist,Brad Anderson's dark psychological thriller about a sleepless factory worker is elevated by Christian Bale astonishingly committed performance.,77.0
the xfiles i want to believe the x files 2,"The chemistry between leads David Duchovny and Gillian Anderson do live up to The X-Files' televised legacy, but the roving plot and droning routines make it hard to identify just what we're meant to believe in.",31.0
priest,"Sleek and stylish, but those qualities are wasted on a dull, derivative blend of sci-fi, action, and horror.",15.0
paterson,Paterson adds another refreshingly unvarnished entry to Jim Jarmusch's filmography -- and another outstanding performance to Adam Driver's career credits.,96.0
ulees gold,"Led by an outstanding Peter Fonda performance, Ulee's Gold movingly depicts a family in crisis -- and a patriarch willing to sacrifice for the good of others.",94.0
jt leroy,"While it may leave some viewers wishing for a more in-depth exploration of its story and themes, J.T. Leroy offers a diverting dramatization of incredible real-life events.",55.0
down and derby,"Dull, predictable family fare.",22.0
black death,"Black Death delivers the fire and brimstone violence its subject matter warrants, while posing some interesting questions of faith and religion.",71.0
absolutely anything,Given the impressive array of talent involved in Absolutely Anything -- and the near-total lack of laughs it provokes -- this Monty Python reunion can only be regarded as a disappointment.,18.0
ip man,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.",85.0
dumbo,"Dumbo packs plenty of story into its brief runtime, along with all the warm animation and wonderful music you'd expect from a Disney classic.",98.0
the red violin le violon rouge,"A symphony of storytelling whose lulls lead to satisfying crescendos, The Red Violin weaves a centuries-long saga with the journey of a single instrument.",74.0
the astronaut farmer,"The Astronaut Farmer is a charming, inspirational drama that successfully avoids modern cinematic cliches while appealing to the optimistic dreamer in all of us.",58.0
1000 times good night,"Beautifully filmed and powerfully acted, 1,000 Times Good Night achieves absorbing fact-based drama without overindulging in Hollywood contrivances.",71.0
jerry before seinfeld,"Jerry Before Seinfeld finds its star revisiting his earliest material on his hometown stage, offering appropriately familiar - yet still abundant - laughs along the way.",95.0
them that follow,"Them That Follow never quite captures the spiritual fervor of its setting, but the cast's committed performances make for an intermittently satisfying character study.",59.0
to wong foo thanks for everything julie newmar,"To Wong Foo, Thanks for Everything! Julie Newmar seeks to celebrate individuality, but is too timid and predictable to achieve its admittedly noble aims.",39.0
blue crush,"The surfing sequences are exhilarating, but the plot is pretty forgettable and trite.",61.0
days of glory,Days of Glory is a powerful historical epic that pays homage to a valiant group of soldiers whose sacrifices have largely been forgotten.,83.0
obvious child,"Tackling a sensitive subject with maturity, honesty, and wit, Obvious Child serves as a deeply promising debut for writer-director Gillian Robespierre.",90.0
an education,"Though the latter part of the film may not appeal to all, An Education is a charming coming-of-age tale powered by the strength of relative newcomer Carey Mulligan's standout performance.",94.0
anacondas the hunt for the blood orchid,A cheesy monster B-movie.,26.0
whats eating gilbert grape,"It's sentimental and somewhat predictable, but those are small complaints, given the tender atmosphere and moving performances at the heart of What's Eating Gilbert Grape.",90.0
mary shelley,"Mary Shelley smooths out its subject's fascinating life and fails to communicate the spark of her classic work, undermining fine period detail and a solid Elle Fanning performance.",38.0
double take,"Despite a good performance by Orlando Jones, the movie is ruined by a ridiculous, messy plot and fails to generate laughs.",12.0
the last shot,Wildly uneven comedy.,62.0
elektra,"Jennifer Garner inhabits her role with earnest gusto, but Elektra's tone deaf script is too self-serious and bereft of intelligent dialogue to provide engaging thrills.",11.0
echo in the canyon,"A thoroughly entertaining look at the Laurel Canyon scene as well as the musical history surrounding it, Echo in the Canyon is essential viewing for rock doc fans.",90.0
indiscreet,Indiscreet spins rom-com gold out of a premise just sturdy enough to set the stage for typically delightful work from its wonderfully well-matched leads.,100.0
little man,"Another gimmicky comedy from the Wayans brothers, Little Man comes with the requisite raunchiness, but forgot to bring the laughs.",12.0
the rocker,"With a predictable and lightweight story, the earnest efforts of the cast are squandered by The Rocker's bland script.",41.0
shadow conspiracy,"Rather than exciting audiences with a thrilling race against time, Shadow Conspiracy suggests there may be a secret cabal duping talented actors into selecting woefully deficient scripts.",0.0
welcome to marwen,"Welcome to Marwen has dazzling effects and a sadly compelling story, but the movie's disjointed feel and clumsy screenplay make this invitation easy to decline.",34.0
night of the living dead,"Night of the Living Dead doesn't quite reinvent the original's narrative, but its sleek action and amplified gore turn it into a worthy horror showcase.",66.0
dreamscape,"Dreamscape mixes several genres -- horror, sci-fi, action -- and always maintains a sense of adventure and humor.",77.0
gods and monsters,"Gods and Monsters is a spellbinding, confusing piece of semi-fiction, featuring fine performances; McKellen leads the way, but Redgrave and Fraser don't lag far behind.",95.0
kingsman the secret service,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.",74.0
the brand new testament le tout nouveau testament,"The Brand New Testament takes a surreal, subversive, and funny look at Biblical themes through a modern -- and refreshingly original -- lens.",82.0
rumble fish,"Rumble Fish frustrates even as it intrigues, but director Francis Ford Coppola's strong visual style helps compensate for a certain narrative stasis.",73.0
getting even with dad,"Overly formulaic and tonally inconsistent, Getting Even with Dad tries for a sentimental conclusion it doesn't earn and winds up a slapsticky cash grab aimed at fans of Home Alone.",3.0
rush,"A sleek, slick, well-oiled machine, Rush is a finely crafted sports drama with exhilarating race sequences and strong performances from Chris Hemsworth and Daniel Brühl.",88.0
full metal jacket,"Intense, tightly constructed, and darkly comic at times, Stanley Kubrick's Full Metal Jacket may not boast the most original of themes, but it is exceedingly effective at communicating them.",92.0
frailty,"Creepy and disturbing, Frailty is well-crafted, low-key horror.",74.0
gothika,Berry's acting talents can't save Gothika from its preposterous plot and bad dialogue.,15.0
rocky iv,"Rocky IV inflates the action to absurd heights, but it ultimately rings hollow thanks to a story that hits the same basic beats as the first three entries in the franchise.",40.0
little women,"Thanks to a powerhouse lineup of talented actresses, Gillian Armstrong's take on Louisa May Alcott's Little Women proves that a timeless story can succeed no matter how many times it's told.",92.0
facing windows,"Polished and sensitively performed, Facing Windows is an unwieldy melodrama that is carried off with style even as its dueling storylines struggle to cohere into a satisfying whole.",63.0
the man who knew infinity,"The Man Who Knew Infinity might be a tad too conventional to truly do its subject justice, but Dev Patel and Jeremy Irons elevate the end result beyond mere biopic formula.",63.0
the hunger games,"Thrilling and superbly acted, The Hunger Games captures the dramatic violence, raw emotion, and ambitious scope of its source novel.",84.0
goodbye solo,"An original and thoughtful human drama, Goodbye Solo looks at relationships and loneliness while proving director Ramin Bahrani's is an important American voice.",94.0
kind hearts and coronets,"Performed with chameleonic brio by Alec Guinness, Kind Hearts and Coronets is a triumphant farce.",100.0
pretty woman,"Pretty Woman may be a yuppie fantasy, but the film's slick comedy, soundtrack, and casting can overcome misgivings.",63.0
brooklyn,Brooklyn buttresses outstanding performances from Saoirse Ronan and Emory Cohen with a rich period drama that tugs at the heartstrings as deftly as it satisfies the mind.,97.0
jesus son,"Slight yet ultimately absorbing, Jesus' Son makes effective use of its period setting and talented ensemble cast.",80.0
and everything is going fine,"Even if And Everything Is Going Fine isn't one of Soderbergh's more commercial efforts, this collection of judiciously edited performance footage of the late monologist Spalding Gray gave the director a chance to show a rarely-seen side of his artistry.",91.0
high crimes,Ashley Judd and Morgan Freeman make this predictable affair watchable.,31.0
twilight zone the movie,"The Twilight Zone: The Movie suffers from the typical anthology-film highs and lows; thankfully, the former outnumber the latter.",58.0
the boys and girl from county clare,The Boys and Girl from County Clare is a charming - if entirely predictable - story about sibling rivalry featuring lively traditional Irish music.,46.0
harry potter and the deathly hallows part 1,"It can't help but feel like the prelude it is, but Deathly Hallows: Part I is a beautifully filmed, emotionally satisfying penultimate installment for the Harry Potter series.",77.0
the last seduction,"Like Body Heat, The Last Seduction updates film noir techniques for a modern era, imbuing this erotic film with '90s snark.",94.0
spotlight,"Spotlight gracefully handles the lurid details of its fact-based story while resisting the temptation to lionize its heroes, resulting in a drama that honors the audience as well as its real-life subjects.",97.0
pitch perfect,"Pitch Perfect's plot is formulaic, but the performances are excellent and the musical numbers are toe-tapping as well.",80.0
the accidental tourist,"Generous with its characters' foibles and virtues, The Accidental Tourist is a thoughtful drama vested with insight into the complications of relationships.",81.0
the signal,"Director William Eubank clearly has big ideas and an impressive level of technical expertise; unfortunately, The Signal fritters them away on a poorly constructed story.",61.0
resident evil apocalypse,"Resident Evil: Apocalypse has lots of action, but not much in terms of plot or creativity.",20.0
just friends,"There are moments of mirth in this overly broad comedy, but mostly, Just Friends is just not that funny.",43.0
the thin red line,The Thin Red Line is a daringly philosophical World War II film with an enormous cast of eager stars.,80.0
prodigal sons,"Fascinating and heartbreakingly honest, Kimberly Reed's family documentary uses its stranger-than-fiction story to speak near-universal truths about family bonds and human identity.",87.0
1208 east of bucharest a fost sau na fost,"With a witty script full of satirical overtones and dry humor, 12:08 East of Bucharest is a thoroughly enjoyable Romanian comedy.",96.0
mirrormask,"While visually dazzling, there isn't enough story to hang all the fancy effects on.",54.0
the witches,"With a deliciously wicked performance from Angelica Huston and imaginative puppetry by Jim Henson's creature shop, Nicolas Roeg's dark and witty movie captures the spirit of Roald Dahl's writing like few other adaptations.",93.0
the sting,"Paul Newman, Robert Redford, and director George Roy Hill prove that charm, humor, and a few slick twists can add up to a great film.",94.0
firehouse dog,"Firehouse Dog's cute premise is ruined with endless fart and poop jokes, and an overlong run time.",38.0
shadowboxer,"With random characters and a preposterous plot, this bizarre thriller might leave you with your mouth hanging open in disbelief.",19.0
city of ghosts,"Atmospheric, but that's about it.",47.0
waterworld,"Though it suffered from toxic buzz at the time of its release, Waterworld is ultimately an ambitious misfire: an extravagant sci-fi flick with some decent moments and a lot of silly ones.",46.0
bohemian rhapsody,"Bohemian Rhapsody hits a handful of high notes, but as an in-depth look at a beloved band, it offers more of a medley than a true greatest hits collection.",60.0
the lion in winter,"Sharper and wittier than your average period piece, The Lion in Winter is a tale of palace intrigue bolstered by fantastic performances from Peter O'Toole, Katharine Hepburn, and Anthony Hopkins in his big-screen debut.",90.0
rewind,"Rewind pulls at the roots of a family's horrific trauma with a deeply personal documentary that's hard to watch, but worth the effort.",100.0
the greatest show on earth,"The Greatest Show on Earth is melodramatic, short on plot, excessively lengthy and bogged down with clichés, but not without a certain innocent charm.",42.0
hedwig and the angry inch,"Hedwig and the Angry Inch may very well be the next Rocky Horror midnight movie. It not only knows how to rock, but Hedwig's story has an emotional poignancy.",92.0
starman,"What initially begins as sci-fi transforms into a surprisingly sweet, offbeat drama, courtesy of John Carpenter's careful direction.",85.0
21,21 could have been a fascinating study had it not supplanted the true story on which it is based with mundane melodrama.,35.0
sleeping with other people,"Sleeping with Other People has likable leads and flashes of inspiration, but seems unwilling or unable to surround them with the truly subversive rom-com they deserve.",63.0
séraphine,"Seraphine is a well-crafted French film that effectively captures one woman's experience with art, religion, and mental illness, and features a brilliant performance from Yolande Moreau.",88.0
intimate strangers,"Intimate Strangers is Hitchcockian noir with a Gallic twist: Rather than simply imitating the genre's form, director/screenwriter Patrice Leconte delves into the underlying psychological drama.",86.0
promised land,"The earnest and well-intentioned Promised Land sports a likable cast, but it also suffers from oversimplified characterizations and a frustrating final act.",53.0
racing stripes,"Racing Stripes might be good for a few laps with younger viewers, but it's too blandly predictable to truly recommend for an all-ages audience.",35.0
